date,price,Open,High,Low
05/07/2023,1794.95,1896.48,1931.39,1741.48
05/14/2023,1819.68,1795.11,1845.27,1774.77
05/21/2023,1829.91,1819.66,1868.89,1764.92
05/28/2023,1892.05,1829.91,1925.74,1824.7
06/04/2023,1751.56,1892.05,1914.12,1719.16
06/11/2023,1727.79,1751.56,1775.87,1632.5
06/18/2023,1875,1727.79,1932.23,1706.4
06/25/2023,1924.53,1875,1943.65,1821.94
07/02/2023,1865.28,1924.53,1974.61,1827.35
07/09/2023,1931.42,1865.28,2025.56,1846.71
07/16/2023,1866.25,1931.43,1942.55,1854.09
07/23/2023,1880.55,1866.26,1903.95,1835.14
07/30/2023,1836.48,1880.55,1884.33,1818.06
08/06/2023,1849.94,1836.48,1871.77,1805.3
08/13/2023,1669.67,1849.94,1861.5,1560.88
08/20/2023,1647.05,1669.68,1697.63,1588.36
08/27/2023,1637.05,1647.05,1742.83,1603.67
09/03/2023,1635.56,1637.05,1667.08,1610.02
09/10/2023,1634.41,1635.56,1652.4,1533.95
09/17/2023,1593.89,1634.41,1668.87,1569.03
09/24/2023,1670.92,1593.89,1693.68,1564.7
10/01/2023,1633.58,1670.92,1742.42,1609.54
10/08/2023,1554.96,1633.58,1641.3,1523.78
10/15/2023,1628.94,1554.96,1642.33,1543.87
10/22/2023,1776.21,1628.94,1864.81,1623.29
10/29/2023,1827.78,1776.21,1873.02,1764.08
